x,y,y_lower,y_upper
1024,2.712e-06,2.712e-06,2.712e-06
1047,2.217e-06,2.217e-06,2.217e-06
1061,1.212e-06,1.212e-06,1.212e-06
1096,1.080e-06,1.080e-06,1.080e-06
1116,9.78e-07,9.78e-07,9.78e-07
1152,7.14e-07,7.14e-07,7.14e-07
1153,6.96e-07,6.96e-07,6.96e-07
1171,6.60e-07,6.60e-07,6.60e-07
1174,6.51e-07,6.51e-07,6.51e-07
1175,6.12e-07,6.12e-07,6.12e-07
1177,6.24e-07,6.24e-07,6.24e-07
1213,6.12e-07,6.12e-07,6.12e-07
1295,3.95e-07,3.95e-07,3.95e-07
