x,y,y_lower,y_upper
1068,2.028e-06,2.028e-06,2.028e-06
1128,9.72e-07,9.72e-07,9.72e-07
1193,9.30e-07,9.30e-07,9.30e-07
1229,7.08e-07,7.08e-07,7.08e-07
1266,6.12e-07,6.12e-07,6.12e-07
1290,5.06e-07,5.06e-07,5.06e-07
