x,y,y_lower,y_upper
873.2151217228465,2.089087689931577e-06,2.089087689931577e-06,2.089087689931577e-06
876.8287687265919,2.0087036561099735e-06,2.0087036561099735e-06,2.0087036561099735e-06
913.2066362359552,1.4060853032546578e-06,1.4060853032546578e-06,1.4060853032546578e-06
937.4268492509366,7.957333439493281e-07,7.957333439493281e-07,7.957333439493281e-07
953.1981507490639,7.433536821098346e-07,7.433536821098346e-07,7.433536821098346e-07
996.651890215356,7.216612946002815e-07,7.216612946002815e-07,7.216612946002815e-07
1001.7848782771537,2.4114438324721164e-07,2.4114438324721164e-07,2.4114438324721164e-07
1011.7772705992512,2.510614276904837e-07,2.510614276904837e-07,2.510614276904837e-07
1034.870962078652,2.5368724588925582e-07,2.5368724588925582e-07,2.5368724588925582e-07
1046.136177434457,1.1845750079675777e-07,1.1845750079675777e-07,1.1845750079675777e-07
1069.229868913858,1.9030103827970391e-07,1.9030103827970391e-07,1.9030103827970391e-07
1112.1044373244386,2.001726050344875e-07,2.001726050344875e-07,2.001726050344875e-07
1155.1446109030383,1.0289932500679282e-07,1.0289932500679282e-07,1.0289932500679282e-07
1158.5176732209739,6.370932522604362e-08,6.370932522604362e-08,6.370932522604362e-08
1219.0572331460678,5.4462720223097676e-08,5.4462720223097676e-08,5.4462720223097676e-08
1232.012230805244,3.534976537256961e-08,3.534976537256961e-08,3.534976537256961e-08
1281.0159176029967,4.474135138818417e-08,4.474135138818417e-08,4.474135138818417e-08
